Titles,Year,Rating,IMDB_Rating,Netflix
Breaking Bad,2008,18+,9.5,1
Game of Thrones,2011,18+,9.3,0
Rick and Morty,2013,18+,9.2,0
Dark,2017,16+,8.8,1
Stranger Things,2016,16+,8.8,1
Avatar: The Last Airbender,2005,7+,9.2,1
Sherlock,2010,16+,9.1,1
Chernobyl,2019,18+,9.4,0
Friends,1994,16+,8.9,0
The Office,2005,16+,8.9,1
Better Call Saul,2015,18+,8.7,1
The Wire,2002,18+,9.3,0
Supernatural,2005,16+,8.4,0
Fargo,2014,18+,8.9,0
Black Mirror,2011,18+,8.8,1
Band of Brothers,2001,18+,9.4,0
Attack on Titan,2013,16+,8.8,0
House,2004,16+,8.7,0
Money Heist,2017,18+,8.4,1
Peaky Blinders,2013,18+,8.8,1
Mr. Robot,2015,18+,8.5,0
Vikings,2013,18+,8.5,0
The Sopranos,1999,18+,9.2,0
The Simpsons,1989,7+,8.7,0
The Mandalorian,2019,7+,8.7,0
Lost,2004,16+,8.3,0
Westworld,2016,18+,8.7,0
The Umbrella Academy,2019,16+,8,1
Narcos,2015,18+,8.8,1
True Detective,2014,18+,9,0
Marvel's Daredevil,2015,18+,8.6,1
Brooklyn Nine-Nine,2013,16+,8.4,0
The Walking Dead,2010,18+,8.2,1
Parks and Recreation,2009,16+,8.6,0
Mindhunter,2017,18+,8.6,1
South Park,1997,18+,8.7,0
Suits,2011,16+,8.5,0
Hannibal,2013,18+,8.5,1
Dexter,2006,18+,8.6,0
Community,2009,7+,8.5,0
Fringe,2008,16+,8.4,0
Modern Family,2009,16+,8.4,0
The Big Bang Theory,2007,16+,8.1,0
Firefly,2002,16+,9,0
Mad Men,2007,16+,8.6,0
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,0
Ozark,2017,18+,8.4,1
The Witcher,2019,18+,8.2,1
Lucifer,2016,16+,8.2,1
It's Always Sunny in Philadelphia,2005,18+,8.8,0